g,z,Qz_numeric
9.781395348837209625e-01,1.297480824377124531e+00,2.596216667427597713e-01
9.781395348837209625e-01,1.887629979583827833e+00,-1.308294535817822180e-01
9.781395348837209625e-01,2.744868459052284937e+00,2.637283682105362459e-01
9.786046511627907174e-01,1.288115299180876860e+00,2.697794933226305147e-01
9.786046511627907174e-01,1.893812099229276180e+00,-1.338112486592990535e-01
9.786046511627907174e-01,2.749509074414115073e+00,2.654997150131066519e-01
9.790697674418604723e-01,1.279006419352011203e+00,2.798189658648198019e-01
9.790697674418604723e-01,1.899713336796649443e+00,-1.367104943028607522e-01
9.790697674418604723e-01,2.754172540562206173e+00,2.673090438776171140e-01
9.795348837209302273e-01,1.270134696873971514e+00,2.897503200927076250e-01
9.795348837209302273e-01,1.905354033378053424e+00,-1.395368059320389875e-01
9.795348837209302273e-01,2.758858006392094442e+00,2.691557686063106303e-01
9.799999999999999822e-01,1.261483012913673152e+00,2.995825035156940430e-01
9.799999999999999822e-01,1.910752150085919476e+00,-1.422985103971541321e-01
9.799999999999999822e-01,2.763564631590898824e+00,2.710392994487165197e-01
9.804651162790697372e-01,1.253036231265134193e+00,3.093233981843468428e-01
9.804651162790697372e-01,1.915923653863951470e+00,-1.450028609184528250e-01
9.804651162790697372e-01,2.768291587383613361e+00,2.729590455885499978e-01
9.809302325581394921e-01,1.244780889464505158e+00,3.189799830494166599e-01
9.809302325581394921e-01,1.920882825692920237e+00,-1.476562093927213937e-01
9.809302325581394921e-01,2.773038057213004670e+00,2.749144130120839691e-01
9.813953488372092471e-01,1.236704949291621114e+00,3.285584728729418202e-01
9.813953488372092471e-01,1.925642509474695840e+00,-1.502641438833052234e-01
9.813953488372092471e-01,2.777803237352760579e+00,2.769048073503199703e-01
9.818604651162790020e-01,1.228797593257117571e+00,3.380644333361715326e-01
9.818604651162790020e-01,1.930214314994549651e+00,-1.528315980436900645e-01
9.818604651162790020e-01,2.782586337458649695e+00,2.789296349448022738e-01
9.823255813953488680e-01,1.221049057108351876e+00,3.475028659494227568e-01
9.823255813953488680e-01,1.934608784925855751e+00,-1.553629488171281992e-01
9.823255813953488680e-01,2.787386581058062252e+00,2.809883017818037843e-01
9.827906976744186229e-01,1.213450490847503671e+00,3.568782890539523023e-01
9.827906976744186229e-01,1.938835533381791487e+00,-1.578620853592838102e-01
9.827906976744186229e-01,2.792203205980315683e+00,2.830802152686828776e-01
9.832558139534883779e-01,1.205993842536424943e+00,3.661947996391745064e-01
9.832558139534883779e-01,1.942903361736771695e+00,-1.603324790266924538e-01
9.832558139534883779e-01,2.797035464729381360e+00,2.852047856549688731e-01
9.837209302325581328e-01,1.198671760476538006e+00,3.754561234359243271e-01
9.837209302325581328e-01,1.946820356128757812e+00,-1.627772348911094014e-01
9.837209302325581328e-01,2.801882624803235355e+00,2.873614246112765613e-01
9.841860465116278878e-01,1.191477510326692579e+00,3.846656646544487912e-01
9.841860465116278878e-01,1.950593970073963623e+00,-1.651991354378878896e-01
9.841860465116278878e-01,2.806743968960074831e+00,2.895495470056630438e-01
9.846511627906976427e-01,1.184404904458477015e+00,3.938265404457296781e-01
9.846511627906976427e-01,1.954231094894504306e+00,-1.676006821327291618e-01
9.846511627906976427e-01,2.811618795435836926e+00,2.917685705483563652e-01
9.851162790697673977e-01,1.177448241407080598e+00,4.029416146522634690e-01
9.851162790697673977e-01,1.957738120097314960e+00,-1.699841252644773426e-01
9.851162790697673977e-01,2.816506418114411936e+00,2.940179196997405597e-01
9.855813953488371526e-01,1.170602253705683271e+00,4.120135230323284659e-01
9.855813953488371526e-01,1.961120985413265405e+00,-1.723514937879144504e-01
9.855813953488371526e-01,2.821406166654174097e+00,2.962970192754710297e-01
9.860465116279069075e-01,1.163862062724710267e+00,4.210447048791365332e-01
9.860465116279069075e-01,1.964385225873302776e+00,-1.747046219691128222e-01
9.860465116279069075e-01,2.826317386572473112e+00,2.986053019071732706e-01
9.865116279069767735e-01,1.157223139398176448e+00,4.300374143895168699e-01
9.865116279069767735e-01,1.967536011036659982e+00,-1.770451675042749862e-01
9.865116279069767735e-01,2.831239439291561855e+00,3.009422055555432962e-01
9.869767441860465285e-01,1.150681269920704519e+00,4.389937448223690253e-01
9.869767441860465285e-01,1.970578179282125530e+00,-1.793746314149302357e-01
9.869767441860465285e-01,2.836171702148478246e+00,3.033071724445335349e-01
9.874418604651162834e-01,1.144232525674618195e+00,4.479156437753317177e-01
9.874418604651162834e-01,1.973516267909392496e+00,-1.816943722587893439e-01
9.874418604651162834e-01,2.841113568369983966e+00,3.056996515482524046e-01
9.879069767441860384e-01,1.137873236751881123e+00,4.568049263298234464e-01
9.879069767441860384e-01,1.976354539668035537e+00,-1.840056249591270621e-01
9.879069767441860384e-01,2.846064447017785604e+00,3.081190968146074738e-01
