t,selected,mass,export,input_monomers,input_molecules
1.360967472894078512e+01,2.752551175873761413e-01,9.999999999999987566e+00,7.664519501180990346e+00,1.360967472894081709e+02,8.165804837364464674e+01
1.377564637197664865e+01,2.752551182157074727e-01,9.999999999999989342e+00,7.847257707282410344e+00,1.377564637197667992e+02,8.265387823185982086e+01
1.394161801501251219e+01,2.752551186175610787e-01,9.999999999999991118e+00,8.029995913719110590e+00,1.394161801501254558e+02,8.364970809007499497e+01
1.410758965804837395e+01,2.752551188746091282e-01,9.999999999999992895e+00,8.212734120370051016e+00,1.410758965804840841e+02,8.464553794829015487e+01
1.427356130108423748e+01,2.752551190390707392e-01,9.999999999999992895e+00,8.395472327157865067e+00,1.427356130108427408e+02,8.564136780650535741e+01
1.443953294412010102e+01,2.752551191443349254e-01,9.999999999999992895e+00,8.578210534033100743e+00,1.443953294412013975e+02,8.663719766472053152e+01
1.460550458715596456e+01,2.752551192117365098e-01,9.999999999999992895e+00,8.760948740964170867e+00,1.460550458715600257e+02,8.763302752293571984e+01
1.477147623019182809e+01,2.752551192549169690e-01,9.999999999999992895e+00,8.943686947930890696e+00,1.477147623019186540e+02,8.862885738115090817e+01
1.493744787322769163e+01,2.752551192826045434e-01,9.999999999999992895e+00,9.126425154920362104e+00,1.493744787322773107e+02,8.962468723936608228e+01
1.510341951626355339e+01,2.752551193003748842e-01,9.999999999999996447e+00,9.309163361924342794e+00,1.510341951626359673e+02,9.062051709758125639e+01
1.526939115929941693e+01,2.752551193117933614e-01,9.999999999999998224e+00,9.491901568937581857e+00,1.526939115929945672e+02,9.161634695579643051e+01
1.543536280233528046e+01,2.752551193191447032e-01,9.999999999999996447e+00,9.674639775956713095e+00,1.543536280233531670e+02,9.261217681401160462e+01
1.560133444537114400e+01,2.752551193238880201e-01,9.999999999999998224e+00,9.857377982979594222e+00,1.560133444537117953e+02,9.360800667222677873e+01
1.576730608840700754e+01,2.752551193269569541e-01,9.999999999999998224e+00,1.004011619000485744e+01,1.576730608840704235e+02,9.460383653044196706e+01
1.593327773144287107e+01,2.752551193289499709e-01,1.000000000000000000e+01,1.022285439703163057e+01,1.593327773144290518e+02,9.559966638865715538e+01
1.609924937447873461e+01,2.752551193302507637e-01,1.000000000000000178e+01,1.040559260405935937e+01,1.609924937447876800e+02,9.659549624687232949e+01
1.626522101751459815e+01,2.752551193311050803e-01,9.999999999999998224e+00,1.058833081108768859e+01,1.626522101751462799e+02,9.759132610508751782e+01
1.643119266055045813e+01,2.752551193316701839e-01,1.000000000000000000e+01,1.077106901811639261e+01,1.643119266055048797e+02,9.858715596330267772e+01
1.659716430358632167e+01,2.752551193320476042e-01,1.000000000000000000e+01,1.095380722514533289e+01,1.659716430358635364e+02,9.958298582151786604e+01
1.676313594662218520e+01,2.752551193323025669e-01,1.000000000000000178e+01,1.113654543217441883e+01,1.676313594662221647e+02,1.005788156797330402e+02
1.692910758965804874e+01,2.752551193324772605e-01,1.000000000000000000e+01,1.131928363920359182e+01,1.692910758965807929e+02,1.015746455379482143e+02
1.709507923269391227e+01,2.752551193325988299e-01,1.000000000000000000e+01,1.150202184623281809e+01,1.709507923269394212e+02,1.025704753961634026e+02
1.726105087572977581e+01,2.752551193326847612e-01,1.000000000000000000e+01,1.168476005326207279e+01,1.726105087572980779e+02,1.035663052543785909e+02
1.742702251876563935e+01,2.752551193327467671e-01,1.000000000000000178e+01,1.186749826029134525e+01,1.742702251876567345e+02,1.045621351125937792e+02
1.759299416180150288e+01,2.752551193327923973e-01,1.000000000000000000e+01,1.205023646732062481e+01,1.759299416180153628e+02,1.055579649708089391e+02
1.775896580483736642e+01,2.752551193328266477e-01,9.999999999999998224e+00,1.223297467434990793e+01,1.775896580483740195e+02,1.065537948290241275e+02
1.792493744787322996e+01,2.752551193328527934e-01,9.999999999999998224e+00,1.241571288137919282e+01,1.792493744787326477e+02,1.075496246872393300e+02
1.809090909090909349e+01,2.752551193328731660e-01,1.000000000000000000e+01,1.259845108840847772e+01,1.809090909090913044e+02,1.085454545454545041e+02
1.825688073394495703e+01,2.752551193328892087e-01,1.000000000000000000e+01,1.278118929543775728e+01,1.825688073394499611e+02,1.095412844036696782e+02
1.842285237698081701e+01,2.752551193329020873e-01,1.000000000000000000e+01,1.296392750246703152e+01,1.842285237698085609e+02,1.105371142618848381e+02
1.858882402001668055e+01,2.752551193329125789e-01,1.000000000000000000e+01,1.314666570949630753e+01,1.858882402001671892e+02,1.115329441201000122e+02
1.875479566305254409e+01,2.752551193329211832e-01,1.000000000000000000e+01,1.332940391652558176e+01,1.875479566305258459e+02,1.125287739783152006e+02
1.892076730608840762e+01,2.752551193329282331e-01,1.000000000000000000e+01,1.351214212355485422e+01,1.892076730608844741e+02,1.135246038365303889e+02
1.908673894912427116e+01,2.752551193329341173e-01,1.000000000000000000e+01,1.369488033058412313e+01,1.908673894912431024e+02,1.145204336947455630e+02
1.925271059216013469e+01,2.752551193329389467e-01,1.000000000000000000e+01,1.387761853761339204e+01,1.925271059216017306e+02,1.155162635529607371e+02
1.941868223519599823e+01,2.752551193329429990e-01,1.000000000000000000e+01,1.406035674464265917e+01,1.941868223519603589e+02,1.165120934111759254e+02
1.958465387823186177e+01,2.752551193329463852e-01,1.000000000000000000e+01,1.424309495167192452e+01,1.958465387823189872e+02,1.175079232693911138e+02
1.975062552126772530e+01,2.752551193329492718e-01,1.000000000000000000e+01,1.442583315870118987e+01,1.975062552126776154e+02,1.185037531276063021e+02
1.991659716430358884e+01,2.752551193329516588e-01,9.999999999999996447e+00,1.460857136573045345e+01,1.991659716430362437e+02,1.194995829858214904e+02
2.008256880733945238e+01,2.752551193329537127e-01,9.999999999999998224e+00,1.479130957275971525e+01,2.008256880733948719e+02,1.204954128440366787e+02
2.024854045037531591e+01,2.752551193329554335e-01,9.999999999999998224e+00,1.497404777978897705e+01,2.024854045037535286e+02,1.214912427022518671e+02
2.041451209341117590e+01,2.752551193329568768e-01,1.000000000000000000e+01,1.515678598681823530e+01,2.041451209341121285e+02,1.224870725604670270e+02
2.058048373644703943e+01,2.752551193329581536e-01,9.999999999999998224e+00,1.533952419384749533e+01,2.058048373644707851e+02,1.234829024186822011e+02
2.074645537948290297e+01,2.752551193329592083e-01,9.999999999999996447e+00,1.552226240087675713e+01,2.074645537948294134e+02,1.244787322768973894e+02
2.091242702251876651e+01,2.752551193329600965e-01,9.999999999999998224e+00,1.570500060790601715e+01,2.091242702251880416e+02,1.254745621351125493e+02
2.107839866555463004e+01,2.752551193329608736e-01,9.999999999999998224e+00,1.588773881493527540e+01,2.107839866555466983e+02,1.264703919933277376e+02
2.124437030859049358e+01,2.752551193329614843e-01,1.000000000000000178e+01,1.607047702196453542e+01,2.124437030859053266e+02,1.274662218515429259e+02
2.141034195162635712e+01,2.752551193329620394e-01,1.000000000000000000e+01,1.625321522899379545e+01,2.141034195162639833e+02,1.284620517097581001e+02
2.157631359466222065e+01,2.752551193329624279e-01,1.000000000000000000e+01,1.643595343602305547e+01,2.157631359466226115e+02,1.294578815679733168e+02
2.174228523769808419e+01,2.752551193329628165e-01,1.000000000000000000e+01,1.661869164305231550e+01,2.174228523769812398e+02,1.304537114261884767e+02
2.190825688073394772e+01,2.752551193329632051e-01,1.000000000000000178e+01,1.680142985008157552e+01,2.190825688073398680e+02,1.314495412844036650e+02
2.207422852376981126e+01,2.752551193329634827e-01,1.000000000000000178e+01,1.698416805711083200e+01,2.207422852376984963e+02,1.324453711426188534e+02
2.224020016680567124e+01,2.752551193329637047e-01,1.000000000000000178e+01,1.716690626414008847e+01,2.224020016680570961e+02,1.334412010008340133e+02
2.240617180984153478e+01,2.752551193329639267e-01,1.000000000000000000e+01,1.734964447116934849e+01,2.240617180984157244e+02,1.344370308590492016e+02
2.257214345287739832e+01,2.752551193329640933e-01,1.000000000000000000e+01,1.753238267819860852e+01,2.257214345287743527e+02,1.354328607172643899e+02
2.273811509591326185e+01,2.752551193329642598e-01,1.000000000000000178e+01,1.771512088522786854e+01,2.273811509591329809e+02,1.364286905754795782e+02
2.290408673894912539e+01,2.752551193329643153e-01,1.000000000000000178e+01,1.789785909225712501e+01,2.290408673894916092e+02,1.374245204336947666e+02
2.307005838198498893e+01,2.752551193329644263e-01,1.000000000000000178e+01,1.808059729928638504e+01,2.307005838198502374e+02,1.384203502919099265e+02
2.323603002502085246e+01,2.752551193329644819e-01,1.000000000000000178e+01,1.826333550631564151e+01,2.323603002502088657e+02,1.394161801501251148e+02
2.340200166805671600e+01,2.752551193329645374e-01,1.000000000000000178e+01,1.844607371334489798e+01,2.340200166805675224e+02,1.404120100083403031e+02
2.356797331109257954e+01,2.752551193329646484e-01,1.000000000000000355e+01,1.862881192037415801e+01,2.356797331109261506e+02,1.414078398665554914e+02
2.373394495412844307e+01,2.752551193329647039e-01,1.000000000000000355e+01,1.881155012740341803e+01,2.373394495412847789e+02,1.424036697247706513e+02
2.389991659716430661e+01,2.752551193329647594e-01,1.000000000000000355e+01,1.899428833443267806e+01,2.389991659716434356e+02,1.433994995829858397e+02
2.406588824020017015e+01,2.752551193329647594e-01,1.000000000000000355e+01,1.917702654146193808e+01,2.406588824020020638e+02,1.443953294412010280e+02
2.423185988323603013e+01,2.752551193329648149e-01,1.000000000000000355e+01,1.935976474849119100e+01,2.423185988323606637e+02,1.453911592994161879e+02
2.439783152627189367e+01,2.752551193329648704e-01,1.000000000000000178e+01,1.954250295552045102e+01,2.439783152627192919e+02,1.463869891576313762e+02
2.456380316930775720e+01,2.752551193329648704e-01,1.000000000000000178e+01,1.972524116254970750e+01,2.456380316930779486e+02,1.473828190158465361e+02
2.472977481234362074e+01,2.752551193329649259e-01,1.000000000000000178e+01,1.990797936957896397e+01,2.472977481234365769e+02,1.483786488740617244e+02
2.489574645537948427e+01,2.752551193329649259e-01,1.000000000000000000e+01,2.009071757660822044e+01,2.489574645537952335e+02,1.493744787322768843e+02
2.506171809841534781e+01,2.752551193329649259e-01,1.000000000000000000e+01,2.027345578363748047e+01,2.506171809841538618e+02,1.503703085904920727e+02
2.522768974145121135e+01,2.752551193329649259e-01,9.999999999999998224e+00,2.045619399066673694e+01,2.522768974145124901e+02,1.513661384487072610e+02
2.539366138448707488e+01,2.752551193329649259e-01,9.999999999999998224e+00,2.063893219769599696e+01,2.539366138448711467e+02,1.523619683069224209e+02
2.555963302752293842e+01,2.752551193329649259e-01,9.999999999999998224e+00,2.082167040472525699e+01,2.555963302752297750e+02,1.533577981651376092e+02
2.572560467055880196e+01,2.752551193329649259e-01,9.999999999999998224e+00,2.100440861175451701e+01,2.572560467055884033e+02,1.543536280233527975e+02
2.589157631359466549e+01,2.752551193329649259e-01,9.999999999999998224e+00,2.118714681878377704e+01,2.589157631359470315e+02,1.553494578815679574e+02
2.605754795663052903e+01,2.752551193329649259e-01,9.999999999999998224e+00,2.136988502581303351e+01,2.605754795663057166e+02,1.563452877397831458e+02
2.622351959966638901e+01,2.752551193329649259e-01,9.999999999999998224e+00,2.155262323284228643e+01,2.622351959966642880e+02,1.573411175979983057e+02
2.638949124270225255e+01,2.752551193329649259e-01,9.999999999999998224e+00,2.173536143987154645e+01,2.638949124270229163e+02,1.583369474562134940e+02
2.655546288573811609e+01,2.752551193329649259e-01,9.999999999999998224e+00,2.191809964690080648e+01,2.655546288573815445e+02,1.593327773144286823e+02
2.672143452877397962e+01,2.752551193329649815e-01,9.999999999999998224e+00,2.210083785393006295e+01,2.672143452877401728e+02,1.603286071726438422e+02
2.688740617180984316e+01,2.752551193329649815e-01,9.999999999999998224e+00,2.228357606095932297e+01,2.688740617180988011e+02,1.613244370308590590e+02
2.705337781484570669e+01,2.752551193329649815e-01,9.999999999999998224e+00,2.246631426798857945e+01,2.705337781484574293e+02,1.623202668890742189e+02
2.721934945788157023e+01,2.752551193329649815e-01,9.999999999999998224e+00,2.264905247501783947e+01,2.721934945788161144e+02,1.633160967472894072e+02
2.738532110091743377e+01,2.752551193329649815e-01,9.999999999999998224e+00,2.283179068204709594e+01,2.738532110091747427e+02,1.643119266055045955e+02
2.755129274395329730e+01,2.752551193329649815e-01,9.999999999999998224e+00,2.301452888907635597e+01,2.755129274395333709e+02,1.653077564637197838e+02
2.771726438698916084e+01,2.752551193329649815e-01,9.999999999999998224e+00,2.319726709610561244e+01,2.771726438698919992e+02,1.663035863219349721e+02
2.788323603002502438e+01,2.752551193329649815e-01,9.999999999999998224e+00,2.338000530313487246e+01,2.788323603002506275e+02,1.672994161801501320e+02
2.804920767306088436e+01,2.752551193329649815e-01,9.999999999999998224e+00,2.356274351016412538e+01,2.804920767306091989e+02,1.682952460383652920e+02
2.821517931609674790e+01,2.752551193329649815e-01,9.999999999999998224e+00,2.374548171719338541e+01,2.821517931609678271e+02,1.692910758965804803e+02
2.838115095913261143e+01,2.752551193329649815e-01,1.000000000000000000e+01,2.392821992422264188e+01,2.838115095913265122e+02,1.702869057547956686e+02
2.854712260216847497e+01,2.752551193329649815e-01,1.000000000000000000e+01,2.411095813125190190e+01,2.854712260216851405e+02,1.712827356130108569e+02
2.871309424520433851e+01,2.752551193329649815e-01,1.000000000000000000e+01,2.429369633828115838e+01,2.871309424520437688e+02,1.722785654712260452e+02
2.887906588824020204e+01,2.752551193329649815e-01,1.000000000000000000e+01,2.447643454531041485e+01,2.887906588824023970e+02,1.732743953294412051e+02
2.904503753127606558e+01,2.752551193329649815e-01,9.999999999999998224e+00,2.465917275233967487e+01,2.904503753127610253e+02,1.742702251876563935e+02
2.921100917431192912e+01,2.752551193329650370e-01,9.999999999999998224e+00,2.484191095936893490e+01,2.921100917431196535e+02,1.752660550458715818e+02
2.937698081734779265e+01,2.752551193329650370e-01,9.999999999999998224e+00,2.502464916639819137e+01,2.937698081734782818e+02,1.762618849040867701e+02
2.954295246038365619e+01,2.752551193329650370e-01,9.999999999999998224e+00,2.520738737342744784e+01,2.954295246038369100e+02,1.772577147623019584e+02
2.970892410341951972e+01,2.752551193329650370e-01,9.999999999999998224e+00,2.539012558045670787e+01,2.970892410341955383e+02,1.782535446205171183e+02
2.987489574645538326e+01,2.752551193329650370e-01,9.999999999999998224e+00,2.557286378748596789e+01,2.987489574645541666e+02,1.792493744787323067e+02
3.004086738949124324e+01,2.752551193329650370e-01,9.999999999999998224e+00,2.575560199451522081e+01,3.004086738949127948e+02,1.802452043369474666e+02
3.020683903252710678e+01,2.752551193329650370e-01,9.999999999999998224e+00,2.593834020154448083e+01,3.020683903252714231e+02,1.812410341951626549e+02
3.037281067556297032e+01,2.752551193329650370e-01,9.999999999999998224e+00,2.612107840857373731e+01,3.037281067556300513e+02,1.822368640533778148e+02
3.053878231859883385e+01,2.752551193329650370e-01,9.999999999999998224e+00,2.630381661560299733e+01,3.053878231859886796e+02,1.832326939115930031e+02
3.070475396163469739e+01,2.752551193329650370e-01,9.999999999999998224e+00,2.648655482263225380e+01,3.070475396163473079e+02,1.842285237698081914e+02
3.087072560467056093e+01,2.752551193329650370e-01,9.999999999999998224e+00,2.666929302966151383e+01,3.087072560467059361e+02,1.852243536280233798e+02
3.103669724770642446e+01,2.752551193329650370e-01,1.000000000000000000e+01,2.685203123669077385e+01,3.103669724770645644e+02,1.862201834862385681e+02
3.120266889074228800e+01,2.752551193329649815e-01,1.000000000000000000e+01,2.703476944372003032e+01,3.120266889074231926e+02,1.872160133444537280e+02
3.136864053377815154e+01,2.752551193329649815e-01,1.000000000000000000e+01,2.721750765074929035e+01,3.136864053377818209e+02,1.882118432026689163e+02
3.153461217681401507e+01,2.752551193329649259e-01,1.000000000000000000e+01,2.740024585777854682e+01,3.153461217681404491e+02,1.892076730608840762e+02
3.170058381984987861e+01,2.752551193329649259e-01,1.000000000000000000e+01,2.758298406480780685e+01,3.170058381984990774e+02,1.902035029190992645e+02
