t,selected,mass,export,input_monomers,input_molecules
1.178398665554628977e+01,3.441311466221512183e-01,1.000000000000000000e+01,1.609490258623553416e+01,1.178398665554628906e+02,7.070391993327777413e+01
1.194995829858215330e+01,3.441311466221420590e-01,1.000000000000000355e+01,1.632336666140255232e+01,1.194995829858215188e+02,7.169974979149296246e+01
1.211592994161801506e+01,3.441311466221342874e-01,1.000000000000000000e+01,1.655183073656958825e+01,1.211592994161801329e+02,7.269557964970813657e+01
1.228190158465387860e+01,3.441311466221276261e-01,1.000000000000000000e+01,1.678029481173664905e+01,1.228190158465387611e+02,7.369140950792332490e+01
1.244787322768974214e+01,3.441311466221221305e-01,9.999999999999998224e+00,1.700875888690372406e+01,1.244787322768973894e+02,7.468723936613849901e+01
1.261384487072560567e+01,3.441311466221174120e-01,1.000000000000000178e+01,1.723722296207081683e+01,1.261384487072560319e+02,7.568306922435367312e+01
1.277981651376146921e+01,3.441311466221133042e-01,9.999999999999998224e+00,1.746568703723792026e+01,1.277981651376146743e+02,7.667889908256884723e+01
1.294578815679733275e+01,3.441311466221099180e-01,1.000000000000000000e+01,1.769415111240503435e+01,1.294578815679733168e+02,7.767472894078403556e+01
1.311175979983319451e+01,3.441311466221071425e-01,1.000000000000000178e+01,1.792261518757215555e+01,1.311175979983319451e+02,7.867055879899919546e+01
1.327773144286905804e+01,3.441311466221047000e-01,1.000000000000000178e+01,1.815107926273928385e+01,1.327773144286905449e+02,7.966638865721438378e+01
1.344370308590492158e+01,3.441311466221025905e-01,1.000000000000000000e+01,1.837954333790641570e+01,1.344370308590492016e+02,8.066221851542955790e+01
1.360967472894078512e+01,3.441311466221008142e-01,9.999999999999998224e+00,1.860800741307355821e+01,1.360967472894078583e+02,8.165804837364473201e+01
1.377564637197664865e+01,3.441311466220994264e-01,9.999999999999998224e+00,1.883647148824070428e+01,1.377564637197664865e+02,8.265387823185992033e+01
1.394161801501251219e+01,3.441311466220981496e-01,9.999999999999998224e+00,1.906493556340785389e+01,1.394161801501251432e+02,8.364970809007509445e+01
1.410758965804837395e+01,3.441311466220970394e-01,1.000000000000000000e+01,1.929339963857500351e+01,1.410758965804837430e+02,8.464553794829026856e+01
