t,selected,mass,export,input_monomers,input_molecules
6.638865721434529021e+00,1.997382886764296333e-09,1.000000000000000000e+01,1.263398979274477267e-06,6.638865721434532929e+01,3.983319432860717768e+01
6.804837364470392558e+00,1.997783107037739358e-09,1.000000000000000000e+01,1.300531800904205584e-06,6.804837364470395755e+01,4.082902418682236600e+01
6.970809007506256094e+00,1.998122121748072575e-09,9.999999999999998224e+00,1.337671477556646863e-06,6.970809007506258581e+01,4.182485404503755433e+01
7.136780650542118742e+00,1.998409291042945991e-09,1.000000000000000000e+01,1.374816960895317699e-06,7.136780650542121407e+01,4.282068390325272844e+01
7.302752293577982279e+00,1.998652543626275085e-09,1.000000000000000000e+01,1.411967362905423980e-06,7.302752293577987075e+01,4.381651376146791677e+01
7.468723936613845815e+00,1.998858595648798606e-09,1.000000000000000000e+01,1.449121931378120231e-06,7.468723936613849901e+01,4.481234361968309798e+01
7.634695579649708463e+00,1.999033136144793855e-09,1.000000000000000178e+01,1.486280029141606695e-06,7.634695579649711306e+01,4.580817347789827210e+01
7.800667222685572000e+00,1.999180984225707104e-09,9.999999999999998224e+00,1.523441116455425224e-06,7.800667222685574131e+01,4.680400333611344621e+01
7.966638865721435536e+00,1.999306221952370733e-09,1.000000000000000355e+01,1.560604736128786237e-06,7.966638865721436957e+01,4.779983319432862743e+01
8.132610508757299073e+00,1.999412307115217103e-09,1.000000000000000178e+01,1.597770500889181419e-06,8.132610508757301204e+01,4.879566305254381575e+01
8.298582151793160833e+00,1.999502168713462337e-09,9.999999999999998224e+00,1.634938082688715162e-06,8.298582151793164030e+01,4.979149291075898276e+01
8.464553794829024369e+00,1.999578287802729811e-09,1.000000000000000000e+01,1.672107203649173278e-06,8.464553794829026856e+01,5.078732276897416398e+01
8.630525437864887905e+00,1.999642766010986500e-09,1.000000000000000000e+01,1.709277628388235475e-06,8.630525437864891103e+01,5.178315262718934520e+01
8.796497080900751442e+00,1.999697383594448774e-09,1.000000000000000178e+01,1.746449157517215295e-06,8.796497080900755350e+01,5.277898248540452641e+01
8.962468723936614978e+00,1.999743648530977161e-09,1.000000000000000355e+01,1.783621622142601637e-06,8.962468723936619597e+01,5.377481234361970053e+01
9.128440366972478515e+00,1.999782838169169853e-09,9.999999999999996447e+00,1.820794879201359165e-06,9.128440366972483844e+01,5.477064220183488885e+01
9.294412010008340275e+00,1.999816034547696860e-09,9.999999999999998224e+00,1.857968807505162900e-06,9.294412010008345248e+01,5.576647206005005586e+01
9.460383653044203811e+00,1.999844154227979920e-09,1.000000000000000000e+01,1.895143304399139325e-06,9.460383653044209495e+01,5.676230191826522997e+01
9.626355296080067347e+00,1.999867973568632831e-09,1.000000000000000000e+01,1.932318282931128651e-06,9.626355296080073742e+01,5.775813177648041119e+01
9.792326939115930884e+00,1.999888150209430589e-09,1.000000000000000178e+01,1.969493669445479784e-06,9.792326939115937989e+01,5.875396163469559241e+01
9.958298582151794420e+00,1.999905241260375375e-09,1.000000000000000000e+01,2.006669401545875100e-06,9.958298582151802236e+01,5.974979149291077363e+01
1.012427022518765796e+01,1.999919718583776888e-09,9.999999999999998224e+00,2.043845426383739865e-06,1.012427022518766364e+02,6.074562135112595485e+01
1.029024186822351972e+01,1.999931981888581417e-09,1.000000000000000178e+01,2.081021699191673079e-06,1.029024186822352505e+02,6.174145120934111475e+01
1.045621351125938325e+01,1.999942369760494024e-09,9.999999999999996447e+00,2.118198182048079997e-06,1.045621351125938787e+02,6.273728106755630307e+01
1.062218515429524679e+01,1.999951169034912194e-09,1.000000000000000000e+01,2.155374842827395916e-06,1.062218515429525212e+02,6.373311092577149140e+01
1.078815679733111033e+01,1.999958622639958757e-09,1.000000000000000178e+01,2.192551654321673196e-06,1.078815679733111494e+02,6.472894078398667261e+01
1.095412844036697386e+01,1.999964936362755606e-09,1.000000000000000178e+01,2.229728593482755285e-06,1.095412844036697777e+02,6.572477064220184673e+01
1.112010008340283562e+01,1.999970284526640104e-09,1.000000000000000000e+01,2.266905640786429409e-06,1.112010008340284060e+02,6.672060050041702084e+01
1.128607172643869916e+01,1.999974814797854963e-09,1.000000000000000178e+01,2.304082779694077847e-06,1.128607172643870484e+02,6.771643035863219495e+01
1.145204336947456270e+01,1.999978652265643085e-09,9.999999999999998224e+00,2.341259996195706196e-06,1.145204336947456909e+02,6.871226021684736907e+01
1.161801501251042623e+01,1.999981902875730354e-09,1.000000000000000178e+01,2.378437278425392526e-06,1.161801501251043334e+02,6.970809007506255739e+01
1.178398665554628977e+01,1.999984656364133026e-09,9.999999999999996447e+00,2.415614616332705097e-06,1.178398665554629616e+02,7.070391993327773150e+01
