t,node1_u,node1_w,node1_x,node1_c1,node1_c2,node1_z,node1_h,node2_u,node2_w,node2_x,node2_c1,node2_c2,node2_z,node2_h
0.185,0.9757218101616205,0.9794280128682714,0.006081432378511182,0.0037062027066925773,0.0017989459872021288,0.001503492315258248,2.395402226900997e-05,0.9761047081608598,0.9797308987521219,0.006009963180222863,0.0036261905914317092,0.0017421203772882967,0.00148695518814729,1.927492605783745e-05
0.19,0.9756221274981774,0.9793492835502109,0.006120365357041843,0.0037271560520756564,0.001808051083597339,0.0015139644100001534,2.4368383685866083e-05,0.9759983779125045,0.9796496206372137,0.006045645429677578,0.0036512427248772787,0.0017552945949527007,0.0014941445016200016,1.9817345335235072e-05
0.195,0.9755212943014631,0.9792698239713392,0.00615942951099705,0.003748529669918867,0.0018174276621101045,0.0015242036406503418,2.4780951869359175e-05,0.9758916769075228,0.9795676688402064,0.006081619798777404,0.003675991932850493,0.0017682547881961938,0.0015018414335850956,2.0353694287724676e-05
0.2,0.9754193488754083,0.9791896260457764,0.006198612158704123,0.0037702771704112253,0.001827055939758071,0.0015342636098492782,2.519176042956106e-05,0.9757845473020185,0.9794850529141235,0.00611792004270294,0.0037005056122704385,0.001781022678375437,0.0015099690737115604,2.0884161303805547e-05
0.20500000000000002,0.9753163254591953,0.9791086840757163,0.006237907331285018,0.003792358616564555,0.0018369166124149914,0.0015441896638879631,2.5600841698948863e-05,0.9756769356218685,0.9794017783322401,0.006154568864990961,0.003724842710535468,0.001793620710618892,0.0015184615772299386,2.140893444479631e-05
0.21,0.9752122543281284,0.9790269941788888,0.00627731414290239,0.003814739850804376,0.0018469912385404633,0.0015540199463804658,2.6008227639679783e-05,0.9755687928529766,0.979317847361324,0.006191580309572713,0.003749054508510038,0.0018060712974870107,0.0015272628978800207,2.1928199973992895e-05
0.215,0.9751071619850847,0.9789445538194533,0.006316835461920296,0.003837391834412857,0.0018572624917574474,0.0015637863746220141,2.6413950496807878e-05,0.9754600743790167,0.9792332597882452,0.006228961753126117,0.0037731854093896,0.0018183962709842762,0.0015363255825398112,2.244214127026521e-05
0.22,0.9750010713783204,0.9788613614367939,0.006356476863791898,0.0038602900585180946,0.0018677143228799352,0.0015735154809986376,2.6818043255838313e-05,0.9753507398497029,0.979148013501726,0.006266715501903957,0.003797273652182799,0.0018306164921915752,0.0015456097159686794,2.295093802014682e-05
0.225,0.9748940021673701,0.978777416143422,0.006396245782810561,0.003883413976096767,0.0018783320410226021,0.001583229190907825,2.7220539942647573e-05,0.9752407529604774,0.9790621049758562,0.006304840118264158,0.003821352015537206,0.0018427515918192996,0.0015550819236044898,2.3454765663528655e-05
0.23,0.9747859709967723,0.9786927174882679,0.006436150850447572,0.003906746491540814,0.0018891023395756395,0.0015929455011016338,2.7621475802544735e-05,0.9751300811963016,0.9789755296564717,0.006343331480222886,0.0038454484603272017,0.0018548198097346883,0.001564714487966335,2.3953795024883918e-05
0.23500000000000001,0.9746769917765444,0.9786072652714206,0.006476201380037365,0.0039302734949217336,0.0019000132783989474,0.0016026790806119848,2.8020887385220687e-05,0.9750186955455504,0.9788882822714011,0.006382183631024423,0.0038695867260063925,0.001866837912958592,0.001574484552686598,2.444819209935489e-05
0.24,0.9745670759596724,0.9785210594020661,0.006516406973801401,0.0039539834424396755,0.001911054234179994,0.0016124417976875816,2.8418812558148175e-05,0.9749065701994207,0.9788003570758593,0.006421389449649599,0.0038937868765928346,0.0018788211740123576,0.0015843734132733524,2.493811796176836e-05
0.245,0.974456232800365,0.9784340997913925,0.006556777228477323,0.003977866991073805,0.0019222158346063017,0.0016222431690480418,2.8815290473593235e-05,0.9747936822612866,0.9787117480433041,0.006460941171304738,0.003918065782170511,0.0018907833870282322,0.0015943659045889224,2.5423728746192416e-05
0.25,0.9743444696114749,0.9783463862737948,0.006597321520577736,0.00400191666236645,0.0019334898710559097,0.0016320907621178407,2.9210361490895177e-05,0.9746800114441002,0.9786224490140647,0.00650083079051839,0.003942437570116189,0.0019027369245792078,0.001604449842514787,2.5905175723495058e-05
0.255,0.974231791997747,0.9782579185515976,0.006638048857413919,0.004026126553897443,0.0019448692068594184,0.0016419905332102115,2.9604067077460594e-05,0.974565539788563,0.9785324538059385,0.006541050359638446,0.003966914017525935,0.001914692812756376,0.0016146155480624969,2.6382605417953027e-05
